Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Top 10 Operators Mean APR (%),Top 10 Operators Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Extra Rewards vs Top 10 Mean (ETH),Extra Rewards vs Top 10 Median (ETH),Z-Score,Days
2024-10,3.381661807023157,5,36,88.88888888888889,3.2970862700116994,3.3255072386549607,3.373312182177046,3.3684473439572593,8.457553701145745,5.615456836819618,17.978469836291545,11.936941215529249,1.7749042305202032,2.8090371522068645,1.0208516081639427,29
2024-11,3.415620679037537,2,36,97.22222222222221,3.2929012530348163,3.306498887775497,3.3809467128074906,3.3587786052654445,12.27194260027209,10.912179126204013,25.989997467856018,23.110237482087445,7.343387464177419,12.0382355224805,1.3775487453653497,29
2024-12,3.3265140279407612,1,36,100.0,3.188422899734745,3.2110459345531783,3.253565710893437,3.2484493695968077,13.809112820601655,11.54680933875829,29.927079038259254,25.024219890881707,15.809343281823883,16.918155646239512,1.784026012527933,30
2025-01,3.283089768193704,5,36,88.88888888888889,3.2057601015274906,3.2074023166670447,3.2802775205463446,3.2770891078073556,7.7329666666213495,7.568745152665909,16.43317704114571,16.084193096284892,0.5976252771408378,1.275188666185379,1.0991967080893887,30
2025-02,3.1953620480502174,23,36,38.88888888888889,3.2160818309163433,3.207273778807313,3.3172060943139665,3.2856687143760457,-2.071978286612569,-1.1911730757095673,-3.87758077403709,-2.229207635410761,-22.802368841210892,-16.900340866259835,-0.2222857927250511,27
2025-03,3.2555738615256713,4,36,91.66666666666666,3.150173362677881,3.1612267146288215,3.234163675491645,3.2166843595870507,10.540049884779009,9.434714689684972,21.621044006493882,19.353644785777973,4.3919201473363305,7.977491966331232,1.197087219184315,30
2025-04,3.189079681035998,10,36,75.0,3.147425137419404,3.14282259433661,3.2576101367173447,3.23611585160021,4.1654543616594095,4.625708669938819,8.145245863266862,9.045239999577634,-13.400636813697114,-9.197584235671224,0.4653979091212257,29
2025-05,3.191078336608206,3,36,94.44444444444444,3.1129358256248914,3.1169954602555716,3.1767041915020453,3.165403907945117,7.814251098331448,7.4082876352634175,15.42092143323982,14.619778676248718,2.8366449908350715,5.066683195544542,1.2269958228530173,30
2025-06,3.114566400662593,1,36,100.0,3.0389747594452006,3.0467923387564473,3.0807038137496763,3.075693516102377,7.559164121739223,6.777406190614545,14.252085313196773,12.778155054609709,6.384468835919235,7.329112825172756,1.747392857042573,29
2025-07,3.056591912951765,1,37,100.0,2.9890086885884672,2.9992006267990208,3.030120150396528,3.026993096451367,6.758322436329796,5.739128615274424,13.066277671883324,11.09580798908298,5.117947586394402,5.722520030626861,1.5333768907468281,30
2025-08,3.003692192120865,2,37,97.2972972972973,2.9356643193496783,2.938692865760016,2.978569191039808,2.9732290941484196,6.802787277118659,6.499932636084872,12.749608719706186,12.182006351024848,4.708488162280073,5.709315369085814,1.688801256139942,30
